"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/a2adb7bd-0783-4b40-8fb6-f330a251300b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","501","PinousStar","1185","255","13","4","19467","19407","101","false","false","French","PinousStar"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7032ed7d-a4be-4f44-939f-1b35fdc3651c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","502","actingliketommy","5887890","2970","4158","1982","411685","19403","249207","true","false","English","actingliketommy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9b835f42-eb01-4294-94fa-052d7f38963f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","503","kn1fedTV","90690","2460","147","36","27237","19401","6759","false","false","Arabic","kn1fedTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9c8de983-25b8-409d-88ff-be1e19616487-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","504","iiTzTimmy","19742970","2280","14729","8659","511335","19355","460284","true","false","English","iiTzTimmy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6e37c5aa-a3c7-4e5a-81f1-ce4ae2bf31df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","505","Motharo","512340","840","1022","609","74190","19351","12189","true","false","Spanish","Motharo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6e24824c-77c5-4705-a52a-fecab9cadc8e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","506","ThiggTTV","2265","90","65","25","23965","19313","30","false","false","English","ThiggTTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b9157610-a289-4990-9995-a5c44058bc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","507","lemiuff","16995","1170","33","14","19897","19301","1269","false","false","German","lemiuff"
"https://static-cdn.jtvnw.net/jtv_user_pictures/938e2475-09f9-4196-9165-f14ed5f9098b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","508","loud_leleo","13145865","945","45327","13910","610523","19278","576673","true","true","Portuguese","loud_leleo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f0b5f45d-5f92-486a-9142-e171111f5776-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","509","Vorwenn","779760","1260","1476","618","382438","19232","58968","true","false","Spanish","Vorwenn"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5008cef4-bc1c-4a12-8e2f-82c046a28603-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","510","Szermina","3765","690","26","5","3859","19211","259","false","false","Polish","Szermina"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0d1d92f2-afc6-4649-aed4-ff25d53028bf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","511","GivenTTV","3656715","5565","1502","657","29797","19188","4494","false","false","English","GivenTTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/06a157ac-fcfb-40b8-b9e7-c6c3cf72a534-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","512","DksN1H","1575","285","11","5","21350","19184","49","false","false","German","DksN1H"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8cc5487b-d3ed-496b-a29b-7b19573e9f0a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","513","cirocarbo1","105","60","3","1","30802","19174","3","false","false","Spanish","cirocarbo1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ee2cd9ce-a7ad-4bbe-ba43-3545689af5a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","514","pufficho","2715","405","14","6","19679","19137","151","false","false","Spanish","pufficho"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32908291-96e8-4071-a54d-f1cbbb9368c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","515","vaughanessa","50550","3555","33","14","1120","19123","1092","false","true","English","vaughanessa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/74bc17ec-e0f7-4a83-a390-357971e26faf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","516","MufMufTV","90780","1530","95","59","21716","19099","5590","false","true","Danish","MufMufTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cf85ecd0-d0a9-4fcf-a809-f2ac47ab50e5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","517","Raaanch","45030","1140","54","39","20942","19084","1093","false","false","English","Raaanch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/05387d65-3c2e-4464-bbeb-22ef78dd3c81-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","518","3DWN","1680","105","22","16","23283","19065","76","false","true","English","3DWN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cc1ad453-8939-41c7-85e3-18a65064181e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","519","jksmith0914","30210","1590","33","19","24315","19063","714","false","false","English","jksmith0914"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d5c1d03a-4e67-4d4a-bb9c-b086125e3aa8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","520","tersmaske","97530","765","192","127","41328","19029","10271","true","false","Turkish","tersmaske"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eac6f947-b09b-4bbc-bef9-79766a9b7b16-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","521","PlayHard","6618600","1185","11700","5585","480489","18917","237331","true","false","Portuguese","PlayHard"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3e9d6d03-aeba-446e-85da-3b2b0074e875-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","522","SemiBasgan","50715","1500","58","33","3738","18841","1740","false","false","Turkish","SemiBasgan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/18ebbfc7-bafa-4dfc-8d78-7f2565d81e38-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","523","paquiroElVaquero","1995","690","7","2","18934","18808","52","false","false","Spanish","paquiroElVaquero"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ccdbd374-71d9-494e-8c91-0720a2bd82f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","524","StableRonaldo_","16250775","1455","16587","11168","2024135","18805","766713","true","false","English","StableRonaldo_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6bf96c36-6414-4074-8971-8d8527a4f5d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","525","LaurenxUK","4065","360","20","11","19156","18790","172","false","false","English","LaurenxUK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ce1cc72-045c-4fb8-9135-8842129e44ba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","526","b_vannessa","415245","3030","314","137","179686","18785","16406","true","true","English","b_vannessa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/271956e0-b3f3-4b82-a6c8-64cc784c14aa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","527","therialxgames_twitch","780","330","8","2","3855","18780","59","false","false","Spanish","therialxgames_twitch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b478b42d-a22b-4cea-ad4f-bce0b79d3b15-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","528","lazo_19","226095","1200","1927","188","47748","18737","6961","false","false","German","lazo_19"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e9072e29-5ce9-4629-aedc-ef7967f8a3de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","529","bigchampo_","1350","270","10","5","18836","18711","28","false","false","English","bigchampo_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8e8f7afb-1d52-4079-b9ec-d2afde9676b1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","530","steffiiZockt","27615","1380","37","20","17909","18693","1714","false","false","German","steffiiZockt"
