"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/e7d11f74-b9c4-4732-8ca5-3c5c85827988-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","801","CYK_Mystic","1350","240","15","5","13186","13174","94","false","false","English","CYK_Mystic"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9d054279-66d5-4f2a-b8ce-b20673943501-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","802","regortread","424380","960","652","442","93839","13165","12792","false","false","Spanish","regortread"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b86888b9-a2dd-4314-b6b0-50986cd807df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","803","seliinn","61215","2520","129","24","10776","13136","4425","false","true","Turkish","seliinn"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ebd8961c-edd4-4460-adce-dc4789af569d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","804","pakopv2","22455","2790","20","8","13276","13134","322","false","false","English","pakopv2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401a3d7c-92bd-4f09-9226-bdb50ebdcc1e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","805","tteuw","6639390","3720","3153","1784","105651","13132","214006","false","true","Portuguese","tteuw"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8d337890-bdcd-48ed-ab2b-fc46bcf00166-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","806","JrokezFTW","13690290","2040","15078","6710","494143","13129","659231","true","true","Turkish","JrokezFTW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9a55d458-b089-4c59-a14d-d477583434b3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","807","AggronBZ","46290","2790","27","16","13402","13120","952","false","false","Spanish","AggronBZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c20fa7fb-e4d8-460f-9e4e-f4b600d31887-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","808","MartonOfficial","87555","855","241","102","21241","13114","7079","true","true","Hungarian","MartonOfficial"
"https://static-cdn.jtvnw.net/jtv_user_pictures/12361678-bf69-4cba-8f88-5b60e7b4a47d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","809","aspertersel","285","120","5","2","13450","13102","3","false","false","English","aspertersel"
"https://static-cdn.jtvnw.net/jtv_user_pictures/227d3f2b-ac22-4509-9aaf-48df1d9b9d41-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","810","tostao_pulvereo","2430","1275","5","1","13311","13096","24","false","false","Portuguese","tostao_pulvereo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/022385e6-090f-4fa4-ac3e-61daa6d849c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","811","kid_aku","41400","1980","61","20","23282","13094","1581","false","false","Spanish","kid_aku"
"https://static-cdn.jtvnw.net/jtv_user_pictures/08e4ff21-51cf-4b4e-a46b-c54672dba065-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","812","dannydebartho_","28485","1770","32","16","16457","13093","1192","false","true","German","dannydebartho_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1df2a31c-b78e-4cc7-8627-8ae2601b3207-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","813","porshenbGOD","2580420","2025","1838","1274","40813","13076","68915","false","false","Russian","porshenbGOD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7dd185ec-1090-4748-8312-c69669d20f06-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","814","GaryMedeloficial","278730","240","2919","1161","13863","13065","6755","false","false","Spanish","GaryMedeloficial"
"https://static-cdn.jtvnw.net/jtv_user_pictures/59c68090-3c05-49e6-8295-bbc52a15aa16-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","815","kiesa_","2850","930","8","3","13144","13053","195","false","false","German","kiesa_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/kuchentv-profile_image-708de77184d4e22d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","816","KuchenTV","5441880","1560","6368","3488","305019","13028","196464","true","false","German","KuchenTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f633f687-5aa6-45ab-b3ac-911d2b872eb6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","817","epicarmin","11100","1005","66","11","15488","12954","384","false","true","Turkish","epicarmin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e7408f06-3ec8-4ac4-b388-170fac17d1e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","818","MillyVT","650070","855","2467","760","18845","12940","20194","false","true","English","MillyVT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8e7d83036dd526d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","819","TwistedPandora","30465","705","74","43","38426","12913","2535","false","false","English","TwistedPandora"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ae485646-ab5e-4635-b019-549a6f995dde-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","820","ValoraPlays","21075","1425","29","14","13255","12906","264","false","true","English","ValoraPlays"
"https://static-cdn.jtvnw.net/jtv_user_pictures/be2775b1-caca-44f7-9e04-cc56b2f615b7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","821","NORO_cz","750","375","5","2","14074","12884","40","false","true","Czech","NORO_cz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/205c2475-9d09-44ef-8ffb-9554f22004e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","822","LPL","42989910","735","139234","58489","663528","12878","966277","true","false","English","LPL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ac589767-c7cc-41b2-a828-3008ae398bc6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","823","yungthasup","1985235","1725","3018","1150","78730","12864","72032","true","false","Italian","yungthasup"
"https://static-cdn.jtvnw.net/jtv_user_pictures/44c6eabe-f658-4d4c-ae53-9c524bad0600-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","824","LyeinN","25575","735","78","34","24045","12854","2069","false","false","Turkish","LyeinN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ca6f643e-d7ff-4fd7-8f8c-70bbe9c5d3dd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","825","DavilinTV","1339095","1845","27368","725","35844","12826","104603","false","false","Spanish","DavilinTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/521d85de-7f26-4bad-8dbe-5800820423a7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","826","DreamLeague","59308335","1845","103710","32145","421466","12820","1010948","true","false","English","DreamLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bca225f4-8722-4b0e-98c0-14ac8a0c8101-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","827","tropa_lucca","5032110","1230","10347","4091","270531","12810","65146","true","false","Portuguese","tropa_lucca"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8a9c0603-7ff0-4189-bdc1-3072029a613d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","828","StRoGo","6379800","945","12388","6751","471952","12794","334448","true","false","Russian","StRoGo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/be2cddc6-f67f-42d8-af37-163daa94dd7f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","829","HuberDan4575","10455","1200","21","8","234","12779","408","false","false","English","HuberDan4575"
"https://static-cdn.jtvnw.net/jtv_user_pictures/69fed7f6-d879-4264-bafe-090781020d76-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","830","ParkerHN","7335","1080","15","6","13193","12771","431","false","false","English","ParkerHN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dcb4d01e-285b-4b43-9723-bce12042bad0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","831","CBLOL","51519165","660","191669","78059","1236564","12768","844037","true","false","Portuguese","CBLOL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/19aa821d-ffb8-4fb8-8d94-236a583f3039-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","832","PengCFWLive","750","330","5","2","12895","12756","70","false","false","English","PengCFWLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/926353f5-50a2-43ac-95a5-907ea8b6eade-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","833","ogenixofficial","525","240","7","2","19354","12736","77","false","false","English","ogenixofficial"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d4cd369d-0548-4524-bac4-4bef7a00bfdf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","834","PerkyParrotMC","36375","390","119","93","15970","12734","1142","false","false","Hungarian","PerkyParrotMC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/00bbec91-9052-446a-a827-6275397f0a35-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","835","AlienBallien","180645","795","388","227","28640","12730","8246","true","true","Italian","AlienBallien"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9f7069b0-559b-4965-a624-04ad21e34c60-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","836","Thanovic","919935","990","1653","929","111614","12700","36734","true","true","English","Thanovic"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c1e5504e-0f24-4f49-ae9e-6422f114c0e2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","837","Bisquit_v8","45150","2625","54","17","13254","12669","306","false","false","English","Bisquit_v8"
"https://static-cdn.jtvnw.net/jtv_user_pictures/834c7e4f-e179-4d54-adeb-a0a94749b9c4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","838","KennyHoopz","72150","825","212","87","27316","12661","3010","true","false","English","KennyHoopz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fdf56e3e-864c-43fd-9506-5440a0fb87bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","839","Marzz_Ow","4762965","1905","4535","2500","465738","12634","251007","true","false","English","Marzz_Ow"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ddb88d12-8ba2-470a-98cf-239208f22529-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","840","MindOfNiels","46920","945","76","49","1226","12625","1108","false","false","Dutch","MindOfNiels"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c85f19ee-150c-446a-ad04-f1c2198d6b1c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","841","thiagobau25","720","285","5","2","12409","12625","47","false","false","Spanish","thiagobau25"
"https://static-cdn.jtvnw.net/jtv_user_pictures/64ecfc23-3c4e-4e94-8b9a-25204f60f79a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","842","an0nymos94","14550","1920","16","7","14315","12617","254","false","false","German","an0nymos94"
"https://static-cdn.jtvnw.net/jtv_user_pictures/44d15788-0dee-4b1f-b854-7e142c96c0e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","843","iexotv","10500","1005","21","10","13409","12614","205","false","false","German","iexotv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5a6b4c60-5a40-4b02-bffc-4bbf980f4973-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","844","thexafn","4350","645","19","6","13310","12613","1115","false","true","Turkish","thexafn"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a631f0a-dfaa-4b7c-b3f7-1def9fab4a0c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","845","sunsoce","77565","1695","113","45","22079","12611","7284","false","false","English","sunsoce"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ea68cb9-a1e5-46ec-8a62-d499efc67312-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","846","TheBenGoddard","15870","555","41","28","14686","12603","245","false","false","English","TheBenGoddard"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e5ae6178-b098-40d0-bdfa-e1ce34d9d3f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","847","kaizwyd","29970","1200","43","24","16623","12597","1814","false","false","English","kaizwyd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ddfd0b72-2e01-445e-832f-600c454bd225-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","848","Peenchii","2535","300","19","8","12951","12596","117","false","false","Polish","Peenchii"
"https://static-cdn.jtvnw.net/jtv_user_pictures/28000239-8332-46b2-8b4f-9a85f63d24fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","849","LordTuckerYT","8100","510","31","15","14197","12587","553","false","false","Spanish","LordTuckerYT"
