"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/6084a2f5-f3d4-46b0-b3c4-7325b2bc5616-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","401","zin0xfnr","1605","495","9","3","22677","22617","191","false","false","German","zin0xfnr"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b989ee41-a9c7-4a0e-bb26-2474ca1a1c8a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","402","GreenAppleTiVi","16185","945","25","17","22986","22595","307","false","false","German","GreenAppleTiVi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8e6e9331-8767-4103-ab35-a6d2720f3163-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","403","LaWhooligan","36090","810","142","44","23865","22592","2125","false","false","English","LaWhooligan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dc4c28c5-7630-4de3-8ddd-5be6a6e2f730-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","404","V_aoen","8220","885","32","9","23137","22508","307","false","true","English","V_aoen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4d3b6741-490f-4db4-9b74-c414e1655ae5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","405","zuzk4_aa","2310","450","13","5","22599","22505","121","false","false","Polish","zuzk4_aa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1090fc37-ec9b-4999-b8dc-7258e03a5b99-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","406","PapoMC","16622640","1770","25966","9391","1621415","22467","698146","true","true","Spanish","PapoMC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2745c53d-3c5f-4f33-a4e3-6076087952bf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","407","airestereo","11115","1320","105","8","41468","22387","294","false","false","English","airestereo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/decb3a3e-14fe-4867-b297-3598d0ff7148-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","408","gewoonroy1","8250","1335","18","6","22454","22368","365","false","false","Dutch","gewoonroy1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7fc6181d-70c2-42a4-acd5-b98a286fc998-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","409","elisawavess","3116235","2655","4750","1173","40417","22342","209876","true","true","Spanish","elisawavess"
"https://static-cdn.jtvnw.net/jtv_user_pictures/adf1d4e1-7b97-44c0-91e9-e62f6a9930a3-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","410","Czech_KappeR","71955","1710","159","42","32995","22320","7645","false","false","Czech","Czech_KappeR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c135b519-3e85-4f01-a7d3-9f4ce9462d42-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","411","Estailus","3267090","2340","2478","1396","148100","22251","87091","true","false","Spanish","Estailus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/59c9b605-3f94-4d51-84c7-821ac69ab8e9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","412","tavitogameplays","1485","405","11","3","22255","22245","31","false","false","Spanish","tavitogameplays"
"https://static-cdn.jtvnw.net/jtv_user_pictures/05cbf39e-0a04-4989-97f6-343036c289c2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","413","RcAguanta","44880","420","150","106","34434","22224","1222","false","false","Spanish","RcAguanta"
"https://static-cdn.jtvnw.net/jtv_user_pictures/68b2b4cc-e7c1-4518-8fd8-9edb091ae065-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","414","Medusssssaaa","110085","1815","182","60","32111","22207","8839","true","false","Spanish","Medusssssaaa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/883d3c52-22ed-4579-ae4c-ec86e137202d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","415","almeduxx_lives","465","135","8","3","22217","22195","91","false","false","Spanish","almeduxx_lives"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a5f98ca6-4c8e-4713-ba0e-c2d5cdf73fd8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","416","MrSpookSterXD","322890","4980","135","64","8039","22160","3187","false","true","English","MrSpookSterXD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7a93458c-b549-426c-b6f2-246a78bf5845-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","417","BorjaPavon","5268270","1650","4947","3192","65044","22098","168721","true","false","Spanish","BorjaPavon"
"https://static-cdn.jtvnw.net/jtv_user_pictures/70a7cd92-2c81-41dd-bf84-b4d060845485-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","418","dedeblackrp","37155","675","81","55","37671","22091","1943","false","false","Portuguese","dedeblackrp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df62479d-b62c-4893-934c-a3964cba26a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","419","Empirrre","73275","720","138","101","44954","22072","1738","true","true","English","Empirrre"
"https://static-cdn.jtvnw.net/jtv_user_pictures/75c37733-4143-47ff-a5b3-1f48e51b441f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","420","Ragazzo_06","2955","600","15","4","3884","21898","130","false","false","Italian","Ragazzo_06"
"https://static-cdn.jtvnw.net/jtv_user_pictures/be62bab9-85df-4aa9-a6ee-8ce55d85fb4e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","421","Nikanoo_","26835","1005","40","26","23576","21821","920","false","false","Polish","Nikanoo_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5745dcb5-1e67-48d6-b7db-bcbf188b073c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","422","DexyyLoll","3210","750","10","4","21839","21771","71","false","true","English","DexyyLoll"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0294fec8-8572-4517-9b60-12e0705a8893-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","423","Elraenn","61146645","1080","103108","56617","2191383","21747","1396081","true","true","Turkish","Elraenn"
"https://static-cdn.jtvnw.net/jtv_user_pictures/00847f8d-dbcf-41e7-bfcd-fdb15117d419-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","424","kotkaro","8205","345","40","23","24419","21683","696","false","false","Polish","kotkaro"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f1bf7a6e-0334-4e9e-b0f3-2e94b9d7efa4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","425","tps_br33zy","210","105","5","2","23148","21641","7","false","true","English","tps_br33zy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a66ed555-3510-45a2-ab98-b231b462c782-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","426","ryux","6482910","3420","4973","1895","579927","21631","296067","true","false","Spanish","ryux"
"https://static-cdn.jtvnw.net/jtv_user_pictures/64c217eb-4467-4926-af13-dff5bdc3e776-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","427","xxj0ac0xx","870","390","9","2","21669","21607","73","false","false","Spanish","xxj0ac0xx"
"https://static-cdn.jtvnw.net/jtv_user_pictures/80a70725-9bb0-4fcb-b2c4-76c76332a555-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","428","Sandroleite","214440","2460","395","87","35992","21570","3442","false","true","Portuguese","Sandroleite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cd5b9cb3-b50a-412e-ba46-5c55fcdb58d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","429","Kitzi","21045","855","51","24","9298","21538","1281","false","false","English","Kitzi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2e9af7f5-347e-4eef-9196-d4df63f29a3d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","430","martuboden","1165590","1410","1599","826","257166","21459","83115","true","false","Spanish","martuboden"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0364566c-7203-495f-80c6-e4dc231d69be-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","431","whoDAP","11415","750","26","15","22125","21458","395","false","true","English","whoDAP"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cf97fb92-6aaf-4acb-9438-b62f6ec7cd07-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","432","Gerssy_","600","165","6","3","21571","21456","69","false","false","Dutch","Gerssy_"
