"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c150272-5e7c-4105-bb2e-a6517615e555-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","301","raegi0817","1080","225","11","4","25924","28139","54","false","false","German","raegi0817"
"https://static-cdn.jtvnw.net/jtv_user_pictures/23ad8a01-1f6d-4e3e-9a5a-0237508cfd3a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","302","Vercetti","763275","1560","1780","489","115395","28128","11961","true","false","English","Vercetti"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c30965e2-4ac8-4831-9aa2-c5f08e5d2539-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","303","1faca","58860","810","313","72","30258","28014","6891","false","false","Portuguese","1faca"
"https://static-cdn.jtvnw.net/user-default-pictures-uv/dbdc9198-def8-11e9-8681-784f43822e80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","304","maskenissen","4242555","345","20590","12297","127676","27987","123653","false","false","English","maskenissen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b644aa40-3bb9-4bba-932d-a8367e594a1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","305","Parrins","2832975","2010","2429","1409","43535","27977","261011","true","false","Italian","Parrins"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fc7126f2-8580-426e-92aa-6f1bbb178e83-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","306","Fizpz","1785","495","10","3","27868","27796","135","false","false","English","Fizpz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9c534f5c-e6b1-42dd-8879-f0e66465b1bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","307","fncsbandit","1320","390","7","3","27591","27759","200","false","false","English","fncsbandit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cd9721fc-f5bf-47ec-998f-a1705d975175-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","308","otuckeruk","660","270","7","2","27814","27668","46","false","false","English","otuckeruk"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7a1f79cc-a2d5-488b-9b91-15cf2da1ab97-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","309","sarcasmkitty","2835","375","16","7","29574","27659","190","false","true","German","sarcasmkitty"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1ee556b8-0206-44c5-9d90-2943edeb797e-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","310","IShowSpeed","677550","330","3168","2053","43117","27658","8584","false","false","English","IShowSpeed"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b78e0d8b-e20e-4c50-9bad-d3b39c77b589-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","311","trackyfnr","705","240","5","2","28059","27643","186","false","false","German","trackyfnr"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3402b733-69eb-41a8-903a-a3101e43b4ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","312","planetasuizo","14205","1335","26","10","27838","27599","297","false","false","Spanish","planetasuizo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5e9af239-af01-4d5d-a95d-4989f5a0e926-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","313","etsech07","1770","345","11","5","27493","27468","153","false","false","Italian","etsech07"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f4feb6f3-4d42-4238-a966-fadb45b20f5e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","314","maxemre_","29715","735","357","40","55618","27304","1199","false","false","German","maxemre_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/01677f16-2ae7-465f-af0e-abfb34e1de3f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","315","wormpie_2232","330","165","3","2","30781","27295","100","false","false","Dutch","wormpie_2232"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a751c21-f0dc-459b-bc43-779239d3c9c6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","316","gabrielchachi","211560","660","477","320","42639","27209","10077","false","false","Spanish","gabrielchachi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bdeb5cec-e656-427e-b1d1-80eacf5c1bde-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","317","KrustyTravis","73170","2220","63","32","16662","27187","2724","false","false","English","KrustyTravis"
"https://static-cdn.jtvnw.net/jtv_user_pictures/20e37041-39eb-47f5-a3ca-23f0fd26c416-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","318","adamco_vajco","4335","1470","7","2","31137","27157","248","false","false","Czech","adamco_vajco"
"https://static-cdn.jtvnw.net/jtv_user_pictures/04cdc463-172e-4820-bb37-99995d6b515a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","319","Exetha_","14250","315","111","45","52257","26991","1743","false","false","Turkish","Exetha_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/69a2e974-5d2f-498f-b71f-b93eba7f0584-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","320","onlyfansaidan","585","210","7","2","28911","26977","163","false","false","English","onlyfansaidan"
