"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/84b033e7-38d4-4771-9485-ce36999ad460-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","201","Jebala","173025","1350","278","128","64117","38067","3430","true","false","Portuguese","Jebala"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9b8ca5b5-de3c-485f-9324-ca14cda22ade-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","202","JaxxyFPS","3450","105","55","32","38024","38023","59","false","false","German","JaxxyFPS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8a271164-9d73-4bf5-8f68-8b244b429119-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","203","bteixeira942","1440","210","16","6","38081","37922","60","false","false","Portuguese","bteixeira942"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","204","ElSpreen","11572305","1440","10915","8036","670477","37833","304308","true","false","Spanish","ElSpreen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/418cf77c-c8f7-4fbb-abe4-2f6f03a40afc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","205","GanmmaKun","5985","1950","9","3","166","37712","211","false","false","Portuguese","GanmmaKun"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5eb2fdb7-ba66-43d9-8ce1-1dfda3764934-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","206","alexssander_gamesp","14145","1710","27","8","39057","37706","388","false","true","Portuguese","alexssander_gamesp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2f41476c-1fa2-4481-a3fb-58373b5f8ecd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","207","onetrickjinx","70080","300","439","233","90014","37705","12373","true","false","Portuguese","onetrickjinx"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0b114c6a-b123-4617-8586-b2f170c7251a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","208","crenbeast","7575","840","18","9","7436","37411","122","false","false","English","crenbeast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/56725701-e882-4918-9d46-edba79c85670-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","209","frozenknytee","21720","1545","28","14","696","37387","845","false","false","English","frozenknytee"
"https://static-cdn.jtvnw.net/jtv_user_pictures/021e773d-aa02-4213-a294-bf9ba6686e61-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","210","jackrousell1","1305","285","9","4","37847","37326","67","false","true","English","jackrousell1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/308bbae1-b8b8-4856-af98-4f1f47dd164d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","211","ZitoFN","1867440","6570","1649","284","92016","37278","62232","true","false","English","ZitoFN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e4b8f0d6-91ed-4233-b923-aae2c9269992-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","212","QuackityToo","15470190","195","119974","79334","606377","37260","184621","true","false","English","QuackityToo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a3db8bd2-1008-403f-890c-5d6b2e9ad2c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","213","chibamba_","90405","1965","177","46","39878","37220","7667","false","true","Portuguese","chibamba_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f8825fcd-c60a-4101-8cb6-1ec241a5e75f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","214","jartulekk","9315","540","32","17","39045","37007","371","false","false","Polish","jartulekk"
"https://static-cdn.jtvnw.net/jtv_user_pictures/67f78bd4-77ba-4406-be5e-06f10d451fa4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","215","MrKeroro10","889230","2085","969","426","1004786","36729","59886","true","false","Spanish","MrKeroro10"
"https://static-cdn.jtvnw.net/jtv_user_pictures/06989f9b-b610-4a59-bddf-1f169daa93a3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","216","LamboXD","1665","165","22","10","36871","36585","92","false","false","English","LamboXD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/af9dc52f-eedf-4bf2-ae8b-ff9922ad65f7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","217","Laqqqy","107520","765","205","140","59447","36520","3629","true","false","English","Laqqqy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b39f5a17-9ed3-43ce-b6de-dbcd38cf10cb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","218","bandidroid","195","105","3","1","37947","36503","169","false","false","Spanish","bandidroid"
"https://static-cdn.jtvnw.net/jtv_user_pictures/352c63a9-3970-4e42-b693-77da1f7b5b74-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","219","TheRSGuykcd","32190","30","1153","1073","95626","36265","0","false","false","English","TheRSGuykcd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f8e30c52-2982-4903-8e76-990499d45423-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","220","Clip7477","20610","1695","31","12","63150","36233","2591","true","false","Portuguese","Clip7477"
"https://static-cdn.jtvnw.net/jtv_user_pictures/58b1567e-7b2a-40ce-ad02-62cdee072e38-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","221","Mr_Mosin_","15285","660","50","23","14817","35849","156166","false","false","English","Mr_Mosin_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/024a97a5-ba44-4665-b77c-69dc7678af44-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","222","Alexby11","19693995","2175","20821","9054","2523500","35743","989853","true","false","Spanish","Alexby11"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eb521308-8d3f-4bd3-ab04-a72e2fba5a67-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","223","VALORANT_Esports_TR","54675870","1845","97591","29634","248062","35742","1902635","true","false","Turkish","VALORANT_Esports_TR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5ea90152-4808-4b8b-b457-19595f4fadef-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","224","CaptainPuffy","13736310","1455","20809","9440","932378","35495","306767","true","false","English","CaptainPuffy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d41163a5-84e4-4ad3-a96f-c463a614fdd8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","225","tbuk558","420","120","8","3","35384","35331","94","false","false","Spanish","tbuk558"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2860bc62-377d-40da-918b-470b2afe08e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","226","NOBRU","38661915","2070","69807","18677","3054143","35109","426931","true","false","Portuguese","NOBRU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/035c9ef3-a2bc-4868-b553-6a0f8184069f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","227","LeonasTV","199995","750","709","266","22444","34917","4794","true","false","Italian","LeonasTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/54812ca0-cff5-47d2-8d9e-e3cbef56abbf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","228","iNetsuuu","2400","870","9","2","35564","34914","134","false","false","Portuguese","iNetsuuu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a80a6a8e-b564-43c3-90c4-7cadd8e74861-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","229","gretameno1","75510","615","181","122","56269","34749","7727","false","false","Italian","gretameno1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d552c518-eb27-41fc-8211-ad094005c706-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","230","SimonasVS","6285","540","18","11","36145","34539","501","false","false","English","SimonasVS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sykkuno-profile_image-6ab1e70e07e29e9b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","231","Sykkuno","77502720","1830","62063","42351","3232588","34489","1411373","true","false","English","Sykkuno"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1bf21efb-4e42-42d7-afbd-3e8d3a0ffb49-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","232","snrlynxy","4035","1080","8","3","34455","34393","137","false","true","English","snrlynxy"
