"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c918c54-48ac-4011-8523-ddc926eed88f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","101","SpectroPlayer","633060","3615","370","175","74759","53580","16377","true","false","Portuguese","SpectroPlayer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6d30ee10-e72d-4e54-89a4-1e6f1a0b63e2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","102","Jonbosstv","652875","2550","385","256","75189","53490","31679","false","false","Portuguese","Jonbosstv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8f0af58e-ab8e-4388-a1a1-e6c03c6f1ebd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","103","FIREK3","360","180","4","2","48942","53010","40","false","false","Polish","FIREK3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/75aea72d-3651-42b5-9f08-30580314891c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","104","relaxiti","960","375","7","2","52920","52838","77","false","true","English","relaxiti"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a7d52f11-c685-48b7-9ea3-e92e75c8ed6a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","105","PeachyTera_","15150","630","31","24","2463","52837","685","false","false","English","PeachyTera_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e5ef3d39-6ff3-42de-830a-b28395d8c4c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","106","telminhaaa","13455","285","74","47","58514","52465","1441","false","false","Portuguese","telminhaaa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1cad618c-9141-4a40-99ae-0835545c513d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","107","KaNaDaPT","1980","495","11","4","52854","52334","341","false","true","Portuguese","KaNaDaPT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c2ecd10f-b61a-4a4f-a558-1cedfab19e4f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","108","imnotbadguy_","615","225","4","2","51952","51947","54","false","false","Portuguese","imnotbadguy_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/91fe66a4-50b4-4082-a79b-9408c41ca9ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","109","kyedae_","12153960","1665","15771","7299","316053","51632","589899","true","true","English","kyedae_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/062f9ca8-5b1b-437e-b8df-d60ecf269350-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","110","BrunoMotaHD","680865","945","1572","720","136379","51463","36648","true","false","Portuguese","BrunoMotaHD"
