"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/8921f9b6-7734-4530-a226-3b45c5853d6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","601","HutchMF","6689925","4140","14583","1615","149070","-1877","239685","true","true","English","HutchMF"
"https://static-cdn.jtvnw.net/jtv_user_pictures/86417f7f-1b9b-4f21-b659-45591f3ac72e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","602","RybsonLoL_","6681315","2130","4399","3136","108596","2269","193136","true","false","Polish","RybsonLoL_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7c3af71e-4991-450b-b8dd-ac87cf61d4c0-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","603","GMNaroditsky","6670965","2835","6238","2353","180746","5351","374870","true","false","English","GMNaroditsky"
"https://static-cdn.jtvnw.net/jtv_user_pictures/wagamamatv-profile_image-fcc33886efd92c4f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","604","WagamamaTV","6667605","3420","3453","1949","316698","-2516","92949","true","false","English","WagamamaTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c76ee04-7109-4987-bb40-404791678505-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","605","BTMC","6665415","3255","3594","2047","276095","-220","185955","true","true","English","BTMC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/iateyourpie-profile_image-c6e9804dd1b1dd35-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","606","iateyourpie","6665010","3645","2467","1828","124697","126","43650","true","false","English","iateyourpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a1b35372-2d5a-4d54-b3be-b76a312e223e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","607","Smajor1995","6661665","1275","22253","5224","388324","45398","181689","true","false","English","Smajor1995"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401a3d7c-92bd-4f09-9226-bdb50ebdcc1e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","608","tteuw","6639390","3720","3153","1784","105651","13132","214006","false","true","Portuguese","tteuw"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f03ca1a6-9b96-4296-a50a-c33778238c72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","609","Giantwaffle","6628695","4020","2713","1648","871294","-3835","98270","true","false","English","Giantwaffle"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8f5493bd-9529-4727-8363-2de0ddf07a97-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","610","Uthenera","6627555","1950","7050","3398","460513","-1219","232667","true","true","Turkish","Uthenera"
"https://static-cdn.jtvnw.net/jtv_user_pictures/80c7f68d-8d5e-45cd-a228-65466e37205f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","611","SkipNhO","6626475","2370","5187","2795","1180799","-3378","183429","true","false","Portuguese","SkipNhO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3dc8923e-ae2c-4c73-a8b2-1187edec138b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","612","ZerosPoker","6622545","1650","6714","4013","62419","1454","109320","true","true","Spanish","ZerosPoker"
"https://static-cdn.jtvnw.net/jtv_user_pictures/be6060ef-eb4b-4a67-bf61-b9a79eee4ce0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","613","wudijo","6621195","4560","2226","1452","48301","1672","311202","true","false","English","wudijo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eac6f947-b09b-4bbc-bef9-79766a9b7b16-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","614","PlayHard","6618600","1185","11700","5585","480489","18917","237331","true","false","Portuguese","PlayHard"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d0b9d755-7d62-427e-afcc-17784545460c-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","615","Sick_Nerd","6613785","2850","3660","2320","183761","429","74732","true","false","English","Sick_Nerd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9d47303a-eb4f-43ad-9b9d-3d5909c9339a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","616","RazaH","6613065","3435","4830","1925","118898","3410","149672","true","false","Portuguese","RazaH"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4ef492f9-0521-41d8-be87-4c5073b02093-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","617","nanfps1","6591135","3810","2665","1729","102381","1697","118650","true","false","Portuguese","nanfps1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/21d8988f-87b4-4a6b-a63a-f87d30624031-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","618","Kaydop","6574545","510","49397","12891","479631","2357","178728","true","false","French","Kaydop"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8647bb3a-1e64-4839-987f-6aec0b44a223-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","619","mang0","6573705","3285","6820","2001","394639","-4065","128918","true","true","English","mang0"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c8ff98b9-b235-47c1-8079-ad10f5099dc2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","620","Nix","6571095","1785","11803","3681","107831","2892","297750","true","true","Russian","Nix"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7e80d742-cf92-4cf1-9ca6-fefbc0c0296c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","621","katoo","6557250","2925","6002","2241","136409","7046","307614","true","false","German","katoo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a1a3031-3fc3-4c00-ba80-0a0d9dbca180-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","622","Tonton","6549270","2595","4484","2523","227444","-10266","284384","true","false","French","Tonton"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ca34ab2c-f9c0-4333-9c18-81b667cbbb70-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","623","ChristianVieriOfficial","6545220","360","23154","18181","226325","6313","70094","true","false","Italian","ChristianVieriOfficial"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2525fce0-cc5a-4b83-b0a0-55f04f70b3ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","624","TapL","6536565","1755","8878","3724","585646","20532","160606","true","false","English","TapL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8fb3bb16-6b9a-4d91-9161-e6b1c1b7f8ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","625","TheRealKnossi","6532050","630","17718","10368","1604342","841","145852","true","true","German","TheRealKnossi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/541b8547-aa9a-4485-8f5c-d2497a08eb40-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","626","KittyPlays","6531630","225","36810","29029","1082882","-232","1528167","true","false","English","KittyPlays"
