"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/c0ade536-9996-4ba3-b9b0-708816cbec0a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","501","twlevewinsHS","7850130","3165","4100","2480","63634","335","73164","true","false","English","twlevewinsHS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6dcf7777-5392-450f-a50d-a299e88c91c6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","502","scumtk","7837020","10080","1933","777","99856","-5817","74085","true","true","English","scumtk"
"https://static-cdn.jtvnw.net/jtv_user_pictures/397f1500-9968-4b38-bff4-30fa87b2ee4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","503","RTP Arena CS:GO (rtparenacsgo)","7817445","2985","8849","2618","155033","2219","520960","true","false","Portuguese","RTP Arena CS:GO (rtparenacsgo)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/626267a4-91d7-42cf-87c1-593eafd020da-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","504","Kitboga","7790715","1005","12330","7751","929889","265","123758","true","false","English","Kitboga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/509c81ae-7dad-4764-b0f3-e810c3f0bafc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","505","TpaBoMaH","7777800","2040","5770","3812","208323","1740","391756","true","false","Russian","TpaBoMaH"
"https://static-cdn.jtvnw.net/jtv_user_pictures/540e8a68-5eae-4147-83a0-11c8398f52c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","506","pimpimenta","7776240","3705","5948","2098","873908","-66","300018","true","false","Portuguese","pimpimenta"
"https://static-cdn.jtvnw.net/jtv_user_pictures/177ab857-72bf-43be-b36c-3afb3d1094f1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","507","Flight23white","7774365","510","19516","15243","1545964","10069","126938","true","false","English","Flight23white"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a83a21669f79bf40-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","508","NiteNightKid","7747095","2235","7552","3466","35657","214","72005","true","true","English","NiteNightKid"
"https://static-cdn.jtvnw.net/jtv_user_pictures/086c0e24-9abf-4bae-8e86-6cb1707a537e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","509","포셔 (portialyn)","7708500","2880","3973","2676","64712","175","114955","true","false","Korean","포셔 (portialyn)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/57398f3b-14b8-4ff5-9b33-4532cc838055-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","510","Pieface23","7701840","1275","11277","6040","480797","3180","88327","true","false","English","Pieface23"
"https://static-cdn.jtvnw.net/jtv_user_pictures/90591f72-6bf7-48c9-8dae-04ba6aeb906a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","511","SmallAnt","7677255","1410","8090","5444","597408","8557","146198","true","false","English","SmallAnt"
