"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/794e5e2b-e3e8-473f-aaf0-be036d6e3b9e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","301","Fundy","12241650","300","65479","40805","1548741","34295","265467","true","false","English","Fundy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6c5ba4a1-5c61-4ff6-a7f4-ac791c19aef2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","302","TFBlade","12240945","2355","7831","5197","1116196","-2686","351860","true","false","English","TFBlade"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d76e174c-86d0-4de0-9567-619ff070ee20-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","303","nba_topshot","12239250","375","88812","32638","23258","996","1569602","true","false","English","nba_topshot"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4e1c48fc-010a-47e9-8097-6b474d846064-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","304","AgenteMaxo","12239160","1260","31848","9713","769093","43660","643007","true","false","Spanish","AgenteMaxo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","305","LVPes","12229065","1470","19911","8319","719987","-1982","625951","true","false","Spanish","LVPes"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5f200-dbb5-45a2-8f6f-abdb5f588a31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","306","sweetdreams","12192555","2115","9898","5764","237980","10149","259569","true","false","English","sweetdreams"
"https://static-cdn.jtvnw.net/jtv_user_pictures/91fe66a4-50b4-4082-a79b-9408c41ca9ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","307","kyedae_","12153960","1665","15771","7299","316053","51632","589899","true","true","English","kyedae_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d694cd30-a478-459b-be0e-ae2e433832e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","308","Mushway","12136665","2445","11537","4963","421924","1686","308667","true","true","French","Mushway"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ffafcd6-b1df-4e2c-8337-2e7beeae7c66-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","309","Esports_Alliance","12043365","1575","28575","7646","126968","5427","299191","true","false","Thai","Esports_Alliance"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bobross-profile_image-0b9dd167a9bb16b5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","310","BobRoss","12008175","4335","4038","2770","1828495","4936","166752","true","false","English","BobRoss"
"https://static-cdn.jtvnw.net/jtv_user_pictures/275e30f1-2acb-41dd-b127-8193727cad6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","311","老皮 (mobilmobil)","12001065","2070","9915","5797","463524","-2949","392131","true","true","Chinese","老皮 (mobilmobil)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/godjj-profile_image-73e3a1dc1807a3ec-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","312","接接 (godjj)","11941305","2445","8403","4883","339373","-3054","370642","true","false","Chinese","接接 (godjj)"
